fips,cohort_year,sex,race,age_group,off_type,repeat_contact,fe_rate,N_fe_rate,mi_rate,N_mi_rate,inc_rate,N_inc_rate,par_rate,N_par_rate,pro_rate,N_pro_rate,avg_coal_prod,med_coal_prod,tot_coal_prod,first_year,last_year,coal_prod_max,county_pop,peak_coal_prod_year,event_time,log_coal_prod,min_event_time,max_event_time
40035,2006,0,0,0,2,0,277,15000,790,15000,,,,,,,367804,367804,367804,2000,2020,367804,15000,2006,-1,12.815305466569,-7,13
40035,2006,0,0,0,3,0,225,15000,135,15000,,,,,,,367804,367804,367804,2000,2020,367804,15000,2006,-1,12.815305466569,-7,13
40035,2007,0,0,0,0,0,834,15200,1862,15200,506,15200,29,15200,,,298221,298221,298221,2000,2020,367804,15200,2006,0,12.6055901013684,-7,13
40035,2007,0,0,0,1,0,159,15200,138,15200,,,,,,,298221,298221,298221,2000,2020,367804,15200,2006,0,12.6055901013684,-7,13
40035,2007,0,0,0,2,0,214,15200,573,15200,,,,,,,298221,298221,298221,2000,2020,367804,15200,2006,0,12.6055901013684,-7,13
40035,2007,0,0,0,3,0,163,15200,138,15200,,,,,,,298221,298221,298221,2000,2020,367804,15200,2006,0,12.6055901013684,-7,13
40035,2008,0,0,0,0,0,800,15100,1867,15100,521,15100,30,15100,,,260574,260574,260574,2000,2020,367804,15100,2006,1,12.4706421689335,-7,13
40035,2008,0,0,0,1,0,156,15100,169,15100,,,,,,,260574,260574,260574,2000,2020,367804,15100,2006,1,12.4706421689335,-7,13
40035,2008,0,0,0,2,0,223,15100,552,15100,,,,,,,260574,260574,260574,2000,2020,367804,15100,2006,1,12.4706421689335,-7,13
40035,2008,0,0,0,3,0,166,15100,129,15100,,,,,,,260574,260574,260574,2000,2020,367804,15100,2006,1,12.4706421689335,-7,13
40035,2009,0,0,0,0,0,1071,15200,2192,15200,537,15200,35,15200,,,113023,113023,226046,2000,2020,367804,15200,2006,2,12.328493797366,-7,13
40035,2009,0,0,0,1,0,197,15200,169,15200,,,,,,,113023,113023,226046,2000,2020,367804,15200,2006,2,12.328493797366,-7,13
40035,2009,0,0,0,2,0,259,15200,510,15200,,,,,,,113023,113023,226046,2000,2020,367804,15200,2006,2,12.328493797366,-7,13
40035,2009,0,0,0,3,0,309,15200,147,15200,,,,,,,113023,113023,226046,2000,2020,367804,15200,2006,2,12.328493797366,-7,13
40035,2010,0,0,0,0,0,1135,15100,2158,15100,544,15100,25,15100,,,23469,23469,46938,2000,2020,367804,15100,2006,3,10.7565828609131,-7,13
40035,2010,0,0,0,1,0,183,15100,193,15100,,,,,,,23469,23469,46938,2000,2020,367804,15100,2006,3,10.7565828609131,-7,13
40035,2010,0,0,0,2,0,287,15100,399,15100,,,,,,,23469,23469,46938,2000,2020,367804,15100,2006,3,10.7565828609131,-7,13
40035,2010,0,0,0,3,0,366,15100,139,15100,,,,,,,23469,23469,46938,2000,2020,367804,15100,2006,3,10.7565828609131,-7,13
40079,2004,0,0,0,0,0,1273,48600,2359,48600,567,48600,48,48600,,,226359.5,216467.5,905438,2000,2018,1059247,48600,2006,-3,13.7161740835031,-7,11
40079,2004,0,0,0,1,0,134,48600,228,48600,,,,,,,226359.5,216467.5,905438,2000,2018,1059247,48600,2006,-3,13.7161740835031,-7,11
40079,2004,0,0,0,2,0,381,48600,785,48600,,,,,,,226359.5,216467.5,905438,2000,2018,1059247,48600,2006,-3,13.7161740835031,-7,11
40079,2004,0,0,0,3,0,515,48600,123,48600,,,,,,,226359.5,216467.5,905438,2000,2018,1059247,48600,2006,-3,13.7161740835031,-7,11
